Animal,Extinction Frame,Final state check,Initial Entropy,Final Entropy,params,size,symmetry,circularity,MSE,SSIM,tolerance
Nonapteryx arcus labens,-1,stable,0.3032384512683197,0.3143231463391832,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.38, 's': 0.07}",1969,0.9676656151419558,0.0346947317376584,0.2620761774933449,0.3543862850487087,0.14
Nonapteryx cavus labens,-1,stable,0.2467758102291692,0.2530243770817963,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.34, 's': 0.053}",1582,0.9487179487179488,0.0561424933635586,0.2198566896334018,0.4045395482490831,0.17
Nonapteryx serratus cavus labens,-1,stable,0.295606353251781,0.3011312173926421,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.39, 's': 0.068}",1953,0.968833481745325,0.0332716624531441,0.1910306793863045,0.5262718112423563,0.1
Nonapteryx serratus sinus labens,-1,stable,0.2767230497518019,0.2813363790103125,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.38, 's': 0.064}",1815,0.9118150684931506,0.0402341108525462,0.1782130714512284,0.5486555830470631,0.07
Decapteryx arcus labens,-1,stable,0.3376126610693342,0.344877615775344,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.38, 's': 0.07}",2272,0.9576453697056712,0.037111237198431,0.2918705187748874,0.2908569040190311,0.16
Decapteryx cavus labens,-1,stable,0.267410128236156,0.2775257824355924,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.34, 's': 0.053}",1765,0.955177743431221,0.0468361466891432,0.2373394478054321,0.3607961553230274,0.19
Decapteryx serratus sinus labens,-1,stable,0.3388602484627402,0.3464075019254722,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.39, 's': 0.07}",2268,0.9746657283603096,0.0263205169824709,0.2343006992116318,0.4255718212637934,0.1
Tridecapteryx arcus valvatus,-1,stable,0.4351623905437589,0.6589124626519821,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.402, 's': 0.0798}",3017,0.971185640056684,0.0191329484571712,0.357238374817623,0.1914758734844921,0.2
Tetracosapteryx arcus labens,-1,stable,0.7020834579229899,0.7403119559851823,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.38, 's': 0.07}",5297,0.9407582938388626,0.0177898277226949,0.4274654308240616,0.060323804392838,0.31
Tetracosapteryx cavus labens,-1,stable,0.5578801214801036,0.5830050347189903,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.34, 's': 0.053}",4155,0.9654515778019588,0.0239038558897559,0.3780720507186648,0.0927267681333289,0.26
